物件名,住所,最寄り駅,賃料,間取り,面積
ＪＲ中央線 神田駅 地下1地上13階建 築7年,東京都千代田区東神田１,['ＪＲ中央線/神田駅 歩9分\nＪＲ総武線/秋葉原駅 歩7分\n都営新宿線/岩本町駅 歩5分'],14.7万円,,
ガーラ銀座東,東京都中央区築地６,['東京メトロ日比谷線/築地駅 歩6分\n都営大江戸線/勝どき駅 歩10分\n東京メトロ有楽町線/新富町駅 歩10分'],9.5万円,,
フォルテ京橋,東京都中央区八丁堀３,['都営浅草線/宝町駅 歩2分\n東京メトロ有楽町線/新富町駅 歩7分\n東京メトロ東西線/茅場町駅 歩10分'],9万円,,
office五番街,東京都中央区日本橋人形町１,['東京メトロ日比谷線/人形町駅 歩1分\n東京メトロ半蔵門線/水天宮前駅 歩1分\n東京メトロ東西線/茅場町駅 歩9分'],14万円,,
サンクレストビル,東京都中央区日本橋大伝馬町,['都営新宿線/馬喰横山駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩5分\n東京メトロ日比谷線/小伝馬町駅 歩5分'],7.4万円,,
ライオンズマンション日本橋,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ東西線/茅場町駅 歩6分'],6.8万円,,
プライムアーバン番町,東京都千代田区九段南２,['東京メトロ有楽町線/市ケ谷駅 歩8分\n東京メトロ東西線/九段下駅 歩9分\n東京メトロ半蔵門線/半蔵門駅 歩10分'],11.4万円,,
都営新宿線 浜町駅 13階建 築24年,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩1分\n東京メトロ日比谷線/人形町駅 歩7分\n都営浅草線/東日本橋駅 歩5分'],8.8万円,,
都営新宿線 浜町駅 10階建 築5年,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩3分\n東京メトロ日比谷線/人形町駅 歩9分\n都営浅草線/東日本橋駅 歩5分'],12.3万円,,
ＪＲ山手線 秋葉原駅 地下1地上21階建 築19年,東京都千代田区神田練塀町,['ＪＲ山手線/秋葉原駅 歩4分\n東京メトロ銀座線/末広町駅 歩7分\n都営新宿線/岩本町駅 歩9分'],17.4万円,,
HARUMI FLAG SUN VILLAGE F棟,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩20分\n新交通ゆりかもめ/市場前駅 歩21分\n東京メトロ有楽町線/月島駅 歩27分'],28万円,,
ＪＲ山手線 東京駅 12階建 築16年,東京都中央区新川２,['ＪＲ山手線/東京駅 歩15分\nＪＲ京葉線/八丁堀駅 歩3分\n東京メトロ日比谷線/茅場町駅 歩10分'],12.3万円,,
コードテラス東日本橋,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩6分'],17.7万円,,
都営浅草線 東日本橋駅 11階建 築8年,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩5分\nＪＲ総武線/浅草橋駅 歩9分'],17.7万円,,
ＪＲ総武線快速 馬喰町駅 13階建 築25年,東京都中央区東日本橋２,['ＪＲ総武線快速/馬喰町駅 歩4分\n都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩5分'],25万円,,
エクセレント東日本橋リバーサイド,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩4分\n都営新宿線/馬喰横山駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩4分'],25万円,,
