物件名,住所,最寄り駅,賃料,間取り,面積
リビオ東京,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩5分\n都営新宿線/馬喰横山駅 歩6分\nＪＲ山手線/神田駅 歩10分'],18万円,,
ＪＲ山手線 東京駅 地下1地上30階建 築8年,東京都中央区新川２,['ＪＲ山手線/東京駅 歩19分\nＪＲ京葉線/八丁堀駅 歩3分\n東京メトロ日比谷線/八丁堀駅 歩3分'],33万円,,
ザ・パークハウスグラン三番町,東京都千代田区三番町,['東京メトロ半蔵門線/半蔵門駅 歩5分\n東京メトロ有楽町線/市ケ谷駅 歩10分\n東京メトロ有楽町線/麹町駅 歩10分'],52万円,,
東京メトロ有楽町線 月島駅 地下2地上38階建 築23年,東京都中央区月島２,['東京メトロ有楽町線/月島駅 歩1分\n都営大江戸線/勝どき駅 歩12分\nＪＲ京葉線/越中島駅 歩15分'],22万円,,
ブランズ日本橋茅場町,東京都中央区日本橋茅場町３,['東京メトロ日比谷線/茅場町駅 歩2分\nＪＲ山手線/東京駅 歩14分\n東京メトロ東西線/茅場町駅 歩2分'],18万円,,
都営新宿線 浜町駅 10階建 築19年,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩3分\n東京メトロ日比谷線/人形町駅 歩7分\nＪＲ総武線快速/馬喰町駅 歩9分'],19万円,,
都営新宿線 浜町駅 10階建 築1年,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩7分\n東京メトロ日比谷線/人形町駅 歩15分'],12.9万円,,
シトラス東日本橋,東京都中央区東日本橋３,['都営新宿線/馬喰横山駅 歩2分\n都営浅草線/東日本橋駅 歩3分\nＪＲ総武線快速/馬喰町駅 歩4分'],18.1万円,,
エステージ築地,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩4分\n東京メトロ有楽町線/新富町駅 歩6分\n都営大江戸線/築地市場駅 歩9分'],16.7万円,,
皆川ビル,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩5分\nＪＲ総武線/浅草橋駅 歩8分\n都営新宿線/馬喰横山駅 歩8分'],12.5万円,,
フォセット月島,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩1分\n都営大江戸線/勝どき駅 歩15分\nＪＲ京葉線/越中島駅 歩16分'],15.8万円,,
東京メトロ有楽町線 月島駅 2階建 築8年,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/勝どき駅 歩12分\n都営大江戸線/月島駅 歩2分'],16.5万円,,
ウィステリア銀座,東京都中央区銀座３,['東京メトロ日比谷線/東銀座駅 歩3分\n都営浅草線/東銀座駅 歩3分\n東京メトロ銀座線/銀座駅 歩7分'],28.5万円,,
ＨＦ銀座レジデンスＥＡＳＴII,東京都中央区新富１,['東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ日比谷線/東銀座駅 歩8分\n都営浅草線/宝町駅 歩6分'],10.8万円,,
東京メトロ半蔵門線 三越前駅 5階建 築5年,東京都中央区日本橋本町４,['東京メトロ半蔵門線/三越前駅 歩2分\nＪＲ山手線/神田駅 歩9分\n東京メトロ日比谷線/小伝馬町駅 歩4分'],15万円,,
ザ・パークハビオ日本橋小伝馬町,東京都中央区日本橋小伝馬町,['東京メトロ日比谷線/小伝馬町駅 歩2分\nＪＲ総武線快速/馬喰町駅 歩7分\n都営新宿線/馬喰横山駅 歩8分'],17.1万円,,
ＪＲ総武線 浅草橋駅 11階建 築17年,東京都千代田区東神田３,['ＪＲ総武線/浅草橋駅 歩2分\nＪＲ総武線/秋葉原駅 歩10分\nＪＲ総武線快速/馬喰町駅 歩5分'],14.7万円,,
ミェーレ日本橋,東京都中央区日本橋大伝馬町,['東京メトロ日比谷線/小伝馬町駅 歩2分\nＪＲ総武線快速/馬喰町駅 歩4分\n都営新宿線/馬喰横山駅 歩4分'],18.7万円,,
ザ・パークハウス東銀座,東京都中央区新富２,['東京メトロ有楽町線/新富町駅 歩1分\n東京メトロ日比谷線/築地駅 歩5分\n東京メトロ日比谷線/東銀座駅 歩8分'],39.5万円,,
東京メトロ有楽町線 新富町駅 13階建 築10年,東京都中央区新富２,['東京メトロ有楽町線/新富町駅 歩1分\n東京メトロ日比谷線/築地駅 歩5分\n都営浅草線/宝町駅 歩8分'],39.5万円,,
VIP日本橋浜町,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩3分\n東京メトロ日比谷線/人形町駅 歩10分\n都営浅草線/東日本橋駅 歩4分'],20.8万円,,
リビオ日本橋浜町パークフィール,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩2分\n東京メトロ日比谷線/人形町駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩7分'],17万円,,
築地MKハウス,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩7分\n東京メトロ有楽町線/新富町駅 歩10分\n都営大江戸線/勝どき駅 歩14分'],23万円,,
レジディア日本橋人形町,東京都中央区日本橋人形町１,['東京メトロ日比谷線/人形町駅 歩5分\n\n東京メトロ半蔵門線/水天宮前駅 歩4分'],17.5万円,,
東京メトロ日比谷線 人形町駅 地下1地上14階建 築23年,東京都中央区日本橋堀留町２,['東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ日比谷線/小伝馬町駅 歩5分\n都営新宿線/馬喰横山駅 歩6分'],15万円,,
東京メトロ有楽町線 新富町駅 5階建 築22年,東京都中央区銀座２,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/東銀座駅 歩8分\n東京メトロ日比谷線/築地駅 歩7分'],16.4万円,,
リアル銀座フロント,東京都中央区銀座２,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/東銀座駅 歩8分\n東京メトロ日比谷線/築地駅 歩7分'],16.4万円,,
都営浅草線 東日本橋駅 地下1地上14階建 築22年,東京都中央区日本橋２,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩3分\nＪＲ山手線/東京駅 歩12分'],26.5万円,,
グリーンパーク東日本橋,東京都中央区日本橋２,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩3分\nＪＲ山手線/東京駅 歩12分'],26.5万円,,
レジディア神田東,東京都千代田区岩本町１,['ＪＲ総武線快速/新日本橋駅 歩3分\n東京メトロ日比谷線/小伝馬町駅 歩5分\nＪＲ山手線/神田駅 歩6分'],15.2万円,,
サンビューハイツ５番町,東京都千代田区五番町,['ＪＲ中央線/市ケ谷駅 歩1分\n東京メトロ南北線/市ケ谷駅 歩1分\n都営新宿線/市ケ谷駅 歩1分'],31万円,,
東京メトロ日比谷線 築地駅 地下1地上10階建 築28年,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩7分\n東京メトロ有楽町線/新富町駅 歩10分\n東京メトロ有楽町線/月島駅 歩14分'],23万円,,
アルビオ・ザ・タワー千代田飯田橋,東京都千代田区飯田橋４,['ＪＲ中央線/飯田橋駅 歩3分\n東京メトロ東西線/九段下駅 歩11分\nＪＲ中央線/水道橋駅 歩10分'],26万円,,
東京メトロ東西線 九段下駅 地下2地上17階建 築21年,東京都千代田区九段南２,['東京メトロ東西線/九段下駅 歩7分\n東京メトロ半蔵門線/半蔵門駅 歩10分\n都営新宿線/市ケ谷駅 歩14分'],175万円,,
東京メトロ丸ノ内線 淡路町駅 地下1地上19階建 築15年,東京都千代田区神田淡路町１,['東京メトロ丸ノ内線/淡路町駅 歩2分\n東京メトロ千代田線/新御茶ノ水駅 歩2分\n都営新宿線/小川町駅 歩2分'],19万円,,
ｔａｌｉｅｓｉｎ　ＣＹ,東京都千代田区飯田橋１,['ＪＲ中央線/飯田橋駅 歩5分\n東京メトロ半蔵門線/九段下駅 歩5分\n東京メトロ有楽町線/飯田橋駅 歩5分'],15万円,,
東京メトロ日比谷線 築地駅 地下1地上10階建 築28年,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩7分\n東京メトロ有楽町線/新富町駅 歩10分\n東京メトロ有楽町線/月島駅 歩14分'],23万円,,
東京メトロ半蔵門線 神保町駅 14階建 築12年,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩4分\nＪＲ総武線/水道橋駅 歩7分\n東京メトロ東西線/九段下駅 歩9分'],12.5万円,,
プライムメゾン神保町,東京都千代田区神田神保町１,['都営三田線/神保町駅 歩5分\nＪＲ総武線/水道橋駅 歩7分\nＪＲ中央線/御茶ノ水駅 歩10分'],12.6万円,,
東京メトロ千代田線 新御茶ノ水駅 地下2地上12階建 築23年,東京都千代田区神田駿河台３,['東京メトロ千代田線/新御茶ノ水駅 歩3分\n都営新宿線/小川町駅 歩4分\nＪＲ中央線/御茶ノ水駅 歩7分'],17.9万円,,
メゾンデS,東京都中央区新川１,['東京メトロ日比谷線/茅場町駅 歩6分\nＪＲ京葉線/八丁堀駅 歩9分\n東京メトロ半蔵門線/水天宮前駅 歩12分'],12.8万円,,
ＪＲ山手線 神田駅 14階建 築6年,東京都千代田区鍛冶町２,['ＪＲ山手線/神田駅 歩2分\nＪＲ総武線快速/新日本橋駅 歩6分\n都営新宿線/岩本町駅 歩5分'],18.7万円,,
都営新宿線 市ケ谷駅 地下1地上11階建 築21年,東京都千代田区九段北４,['都営新宿線/市ケ谷駅 歩1分\n東京メトロ半蔵門線/半蔵門駅 歩11分\n東京メトロ有楽町線/麹町駅 歩16分'],29.8万円,,
東京メトロ有楽町線 月島駅 8階建 築18年,東京都中央区月島２,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/勝どき駅 歩9分\n都営大江戸線/月島駅 歩2分'],14.2万円,,
スカイコート日本橋人形町第3,東京都中央区日本橋人形町２,['東京メトロ日比谷線/人形町駅 歩3分\n都営浅草線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩4分'],15.7万円,,
ファミール東京グランリッツ,東京都中央区日本橋３,['東京メトロ銀座線/日本橋駅 歩3分\nＪＲ山手線/東京駅 歩3分\n東京メトロ銀座線/京橋駅 歩6分'],19.8万円,,
ＪＲ中央線 水道橋駅 10階建 築20年,東京都千代田区西神田１,['ＪＲ中央線/水道橋駅 歩5分\n東京メトロ半蔵門線/神保町駅 歩5分\n東京メトロ丸ノ内線/御茶ノ水駅 歩8分'],21.5万円,,
Patris26　【パトリス26】,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩5分\nＪＲ総武線/水道橋駅 歩7分\nＪＲ総武線/御茶ノ水駅 歩8分'],21.5万円,,
都営大江戸線 月島駅 4階建 築6年,東京都中央区月島２,['都営大江戸線/月島駅 歩2分\n都営大江戸線/勝どき駅 歩8分'],10万円,,
ＴＨＥ　ＡＸＩＳ　ＫＯＪＩＭＡＣＨＩ,東京都千代田区平河町２,['東京メトロ有楽町線/麹町駅 歩3分\n東京メトロ半蔵門線/半蔵門駅 歩5分\n東京メトロ南北線/永田町駅 歩4分'],29万円,,
TRACK八丁堀,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ日比谷線/茅場町駅 歩7分\n都営浅草線/宝町駅 歩10分'],16.9万円,,
グリーンパーク東日本橋,東京都中央区東日本橋２,['東京メトロ日比谷線/人形町駅 歩7分\n都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩3分'],25万円,,
Ｓａｉｃｈｉ銀座東,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩8分\n東京メトロ有楽町線/新富町駅 歩13分\n都営大江戸線/勝どき駅 歩12分'],18.5万円,,
東京メトロ半蔵門線 神保町駅 9階建 築23年,東京都千代田区神田錦町３,['東京メトロ半蔵門線/神保町駅 歩5分\n東京メトロ千代田線/新御茶ノ水駅 歩6分\nＪＲ総武線/御茶ノ水駅 歩11分'],18万円,,
東京メトロ日比谷線 八丁堀駅 10階建 築23年,東京都中央区湊１,['東京メトロ日比谷線/八丁堀駅 歩5分\n東京メトロ有楽町線/新富町駅 歩10分\n東京メトロ日比谷線/茅場町駅 歩12分'],16.9万円,,
アクアコート,東京都中央区湊１,['ＪＲ京葉線/八丁堀駅 歩5分\n東京メトロ有楽町線/新富町駅 歩10分'],16.9万円,,
プラティーヌ御茶ノ水,東京都千代田区神田須田町１,['都営新宿線/小川町駅 歩3分\n東京メトロ丸ノ内線/淡路町駅 歩3分\n東京メトロ銀座線/神田駅 歩6分'],28.9万円,,
常秀館,東京都千代田区九段南３,['ＪＲ中央線/市ケ谷駅 歩6分\n東京メトロ有楽町線/市ケ谷駅 歩6分\n東京メトロ東西線/九段下駅 歩12分'],14.8万円,,
東京メトロ東西線 飯田橋駅 7階建 築27年,東京都千代田区飯田橋１,['東京メトロ東西線/飯田橋駅 歩3分\nＪＲ中央線/飯田橋駅 歩4分\n都営新宿線/九段下駅 歩6分'],14万円,,
東京メトロ日比谷線 八丁堀駅 地下1地上16階建 築6年,東京都中央区新川２,['東京メトロ日比谷線/八丁堀駅 歩2分\n東京メトロ東西線/茅場町駅 歩8分\n都営浅草線/宝町駅 歩10分'],19万円,,
ＪＲ京葉線 八丁堀駅 12階建 築20年,東京都中央区湊２,['ＪＲ京葉線/八丁堀駅 歩6分\n東京メトロ日比谷線/八丁堀駅 歩6分\n東京メトロ有楽町線/新富町駅 歩8分'],18.9万円,,
グランド・ガーラ神田,東京都千代田区神田多町２,['東京メトロ銀座線/神田駅 歩3分\n東京メトロ丸ノ内線/淡路町駅 歩4分\nＪＲ山手線/神田駅 歩5分'],12.3万円,,
ホワイトマンション八丁堀,東京都中央区八丁堀４,['東京メトロ日比谷線/八丁堀駅 歩2分\n都営浅草線/宝町駅 歩5分\n東京メトロ銀座線/京橋駅 歩7分'],15.3万円,,
レゾン アレグレ,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/築地駅 歩8分\nＪＲ京葉線/八丁堀駅 歩8分'],21.5万円,,
レゾン アレグレ,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/築地駅 歩8分\nＪＲ京葉線/八丁堀駅 歩8分'],21.5万円,,
東京メトロ有楽町線 新富町駅 12階建 築20年,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩7分\n東京メトロ日比谷線/築地駅 歩10分\n東京メトロ日比谷線/八丁堀駅 歩9分'],21.5万円,,
CROSS RESIDENCE日本橋浜町【クロスレジデンス日本橋浜町】,東京都中央区日本橋浜町３,['東京メトロ日比谷線/人形町駅 歩9分\nＪＲ総武線快速/馬喰町駅 歩8分\n都営新宿線/浜町駅 歩3分'],23.8万円,,
都営浅草線 東日本橋駅 12階建 築16年,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩2分\n都営新宿線/馬喰横山駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩7分'],18.8万円,,
EPIC東日本レジデンス,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩2分\n都営新宿線/馬喰横山駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩7分'],18.8万円,,
AZURE神田錦町　【アジュール神田錦町】,東京都千代田区神田錦町１,['ＪＲ山手線/神田駅 歩11分\n東京メトロ半蔵門線/神保町駅 歩7分\nＪＲ中央線/御茶ノ水駅 歩10分'],13万円,,
VORT飯田橋レジデンス,東京都千代田区飯田橋２,['都営新宿線/九段下駅 歩5分\n東京メトロ有楽町線/飯田橋駅 歩8分\nＪＲ中央線/水道橋駅 歩9分'],26万円,,
ＪＲ京浜東北線 神田駅 9階建 築11年,東京都千代田区神田錦町２,['ＪＲ京浜東北線/神田駅 歩9分\n東京メトロ半蔵門線/大手町駅 歩7分\n東京メトロ丸ノ内線/淡路町駅 歩6分'],14.5万円,,
クラージュ,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩2分\nＪＲ中央線/水道橋駅 歩8分\n東京メトロ丸ノ内線/御茶ノ水駅 歩10分'],18.5万円,,
神保町一丁目ＴＳビル,東京都千代田区神田神保町１,['都営三田線/神保町駅 歩1分\n東京メトロ千代田線/新御茶ノ水駅 歩9分\n東京メトロ東西線/竹橋駅 歩12分'],60万円,,
東京メトロ半蔵門線 神保町駅 6階建 築40年,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩1分\n東京メトロ千代田線/新御茶ノ水駅 歩9分\n東京メトロ東西線/竹橋駅 歩12分'],60万円,,
東京メトロ半蔵門線 水天宮前駅 10階建 築3年,東京都中央区日本橋人形町２,['東京メトロ半蔵門線/水天宮前駅 歩1分\n東京メトロ日比谷線/人形町駅 歩2分\n都営新宿線/浜町駅 歩10分'],18.3万円,,
リバーシティ２１イーストタワーズ,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩5分\nＪＲ京葉線/八丁堀駅 歩13分\nＪＲ山手線/東京駅 バス11分 (バス停)リバーシティ２１ 歩3分'],27.4万円,,
イトーピア三番町,東京都千代田区三番町,['ＪＲ中央線/市ケ谷駅 歩10分\n東京メトロ有楽町線/市ケ谷駅 歩9分\n東京メトロ半蔵門線/半蔵門駅 歩7分'],85万円,,
ユニロイヤル一番町,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩2分\n東京メトロ有楽町線/麹町駅 歩8分\n東京メトロ有楽町線/市ケ谷駅 歩14分'],18.5万円,,
都営新宿線 市ケ谷駅 地下1地上18階建 築8年,東京都千代田区三番町,['都営新宿線/市ケ谷駅 歩5分\n東京メトロ半蔵門線/半蔵門駅 歩8分\n東京メトロ有楽町線/麹町駅 歩10分'],32万円,,
中銀新川マンシオン,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩4分\n東京メトロ日比谷線/八丁堀駅 歩8分\n東京メトロ日比谷線/茅場町駅 歩9分'],14.7万円,,
東京メトロ半蔵門線 神保町駅 10階建 築16年,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩2分\n東京メトロ半蔵門線/九段下駅 歩5分\nＪＲ中央線/高円寺駅 歩9分'],22万円,,
レオーネ東日本橋駅前II,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩2分\n都営新宿線/馬喰横山駅 歩7分\nＪＲ総武線快速/馬喰町駅 歩7分'],19.5万円,,
ソルクレスト御茶ノ水,東京都千代田区外神田２,['東京メトロ丸ノ内線/御茶ノ水駅 歩5分\nＪＲ山手線/秋葉原駅 歩6分\n都営新宿線/小川町駅 歩6分'],26.5万円,,
東京メトロ日比谷線 小伝馬町駅 地下1地上10階建 築18年,東京都中央区日本橋大伝馬町,['東京メトロ日比谷線/小伝馬町駅 歩2分\nＪＲ総武線快速/新日本橋駅 歩5分\n都営新宿線/岩本町駅 歩13分'],17.7万円,,
プラウドフラット三越前,東京都中央区日本橋本町４,['東京メトロ銀座線/三越前駅 歩4分\nＪＲ山手線/神田駅 歩5分\nＪＲ総武線快速/新日本橋駅 歩2分'],13.9万円,,
東京メトロ有楽町線 月島駅 10階建 築24年,東京都中央区月島３,['東京メトロ有楽町線/月島駅 歩5分\n都営大江戸線/勝どき駅 歩9分\n東京メトロ日比谷線/築地駅 歩20分'],18万円,,
ブレシア日本橋蛎殻町,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩6分\n東京メトロ東西線/茅場町駅 歩6分'],12.9万円,,
プラース千代田富士見,東京都千代田区富士見２,['ＪＲ総武線/飯田橋駅 歩4分\n都営新宿線/九段下駅 歩10分\n都営三田線/水道橋駅 歩17分'],11万円,,
ビィ・フォルマ東日本橋,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩3分\n都営新宿線/馬喰横山駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩5分'],13.2万円,,
東京メトロ東西線 大手町駅 10階建 築4年,東京都千代田区神田錦町２,['東京メトロ東西線/大手町駅 歩6分\nＪＲ山手線/神田駅 歩10分\n東京メトロ銀座線/三越前駅 歩13分'],19.7万円,,
プレミスト六番町,東京都千代田区六番町,['ＪＲ中央線/市ケ谷駅 歩5分\nＪＲ中央線/四ツ谷駅 歩5分\n東京メトロ有楽町線/麹町駅 歩7分'],35万円,,
東京メトロ半蔵門線 水天宮前駅 8階建 築32年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩4分\n東京メトロ日比谷線/茅場町駅 歩6分\n東京メトロ日比谷線/人形町駅 歩9分'],18万円,,
PATH日本橋人形町,東京都中央区日本橋堀留町１,['東京メトロ日比谷線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩7分\n東京メトロ銀座線/三越前駅 歩10分'],20.9万円,,
プラース千代田富士見,東京都千代田区富士見２,['ＪＲ総武線/飯田橋駅 歩4分\n都営新宿線/九段下駅 歩10分\n都営三田線/水道橋駅 歩17分'],11万円,,
ビィ・フォルマ東日本橋,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩3分\n都営新宿線/馬喰横山駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩5分'],13.2万円,,
東京メトロ東西線 大手町駅 10階建 築4年,東京都千代田区神田錦町２,['東京メトロ東西線/大手町駅 歩6分\nＪＲ山手線/神田駅 歩10分\n東京メトロ銀座線/三越前駅 歩13分'],19.7万円,,
都営新宿線 浜町駅 10階建 築3年,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩10分\n東京メトロ半蔵門線/水天宮前駅 歩10分\n都営大江戸線/森下駅 歩12分'],18.2万円,,
山田貸家,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩4分'],7.5万円,,
プレミスト六番町,東京都千代田区六番町,['ＪＲ中央線/市ケ谷駅 歩5分\nＪＲ中央線/四ツ谷駅 歩5分\n東京メトロ有楽町線/麹町駅 歩7分'],35万円,,
四番町ビル,東京都千代田区四番町,['ＪＲ中央線/市ケ谷駅 歩5分\n東京メトロ有楽町線/麹町駅 歩4分\n東京メトロ丸ノ内線/四ツ谷駅 歩8分'],26万円,,
ＪＲ総武線快速 馬喰町駅 12階建 築19年,東京都中央区日本橋馬喰町１,['ＪＲ総武線快速/馬喰町駅 歩1分\n都営新宿線/馬喰横山駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩5分'],10.9万円,,
東京メトロ半蔵門線 水天宮前駅 10階建 築13年,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ東西線/茅場町駅 歩6分\n都営浅草線/人形町駅 歩6分'],12.9万円,,
グレイスコート岩本町,東京都千代田区岩本町１,['都営新宿線/岩本町駅 歩8分\nＪＲ総武線快速/馬喰町駅 歩4分\nＪＲ山手線/秋葉原駅 歩16分'],12.6万円,,
都営新宿線 浜町駅 15階建 築20年,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩3分\n東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩7分'],26万円,,
ビラカーサ五番町,東京都千代田区五番町,['東京メトロ有楽町線/市ケ谷駅 歩4分\n東京メトロ有楽町線/麹町駅 歩6分\n東京メトロ丸ノ内線/四ツ谷駅 歩10分'],18.9万円,,
東京メトロ半蔵門線 水天宮前駅 12階建 築43年,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ東西線/茅場町駅 歩6分'],28万円,,
東京メトロ有楽町線 新富町駅 12階建 築25年,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/築地駅 歩7分\nＪＲ京葉線/八丁堀駅 歩8分'],18.5万円,,
RBCビル,東京都中央区日本橋人形町３,['東京メトロ日比谷線/人形町駅 歩2分\n都営浅草線/人形町駅 歩2分'],18.3万円,,
東京メトロ半蔵門線 水天宮前駅 13階建 築27年,東京都中央区日本橋蛎殻町２,['東京メトロ半蔵門線/水天宮前駅 歩1分\n東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ東西線/茅場町駅 歩9分'],26万円,,
ＡＳＴＩＬＥ日本橋浜町,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩8分\n都営大江戸線/森下駅 歩10分'],18.5万円,,
東京メトロ半蔵門線 半蔵門駅 17階建 新築,東京都千代田区三番町,['東京メトロ半蔵門線/半蔵門駅 歩8分\n東京メトロ有楽町線/市ケ谷駅 歩8分\nＪＲ中央線/市ケ谷駅 歩11分'],78万円,,
クローバーステイ秋葉原,東京都千代田区東神田２,['ＪＲ総武線/浅草橋駅 歩4分\nＪＲ山手線/秋葉原駅 歩8分\nＪＲ総武線快速/馬喰町駅 歩5分'],11.6万円,,
都営浅草線 浅草橋駅 12階建 築17年,東京都千代田区東神田２,['都営浅草線/浅草橋駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩5分\nＪＲ山手線/秋葉原駅 歩8分'],11.6万円,,
都営大江戸線 勝どき駅 9階建 築11年,東京都中央区勝どき３,['都営大江戸線/勝どき駅 歩3分\n東京メトロ有楽町線/月島駅 歩11分\n東京メトロ日比谷線/築地駅 歩17分'],16.5万円,,
ABOGAビル月島,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩3分\nＪＲ京葉線/越中島駅 歩10分\n東京メトロ東西線/門前仲町駅 歩16分'],27万円,,
東京メトロ銀座線 末広町駅 9階建 築23年,東京都千代田区外神田３,['東京メトロ銀座線/末広町駅 歩3分\n東京メトロ千代田線/新御茶ノ水駅 歩9分\nＪＲ山手線/秋葉原駅 歩10分'],24.43万円,,
東京メトロ有楽町線 月島駅 10階建 築15年,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩1分\nＪＲ京葉線/越中島駅 歩14分\n都営大江戸線/勝どき駅 歩13分'],15.8万円,,
東京メトロ日比谷線 茅場町駅 10階建 築9年,東京都中央区日本橋茅場町２,['東京メトロ日比谷線/茅場町駅 歩1分\n都営浅草線/日本橋駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩10分'],17万円,,
プレジリア銀座ＥＡＳＴ,東京都中央区入船３,['東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ日比谷線/築地駅 歩5分\nＪＲ京葉線/八丁堀駅 歩7分'],21.5万円,,
都営大江戸線 勝どき駅 地下2地上49階建 築12年,東京都中央区晴海２,['都営大江戸線/勝どき駅 歩12分\n東京メトロ有楽町線/月島駅 歩19分\n東京メトロ有楽町線/豊洲駅 歩21分'],29万円,,
ｃａｓａ　ＫＥＩＴＯ,東京都中央区東日本橋１,['都営浅草線/東日本橋駅 歩3分\n都営新宿線/馬喰横山駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩4分'],15万円,,
東京メトロ日比谷線 人形町駅 10階建 築13年,東京都中央区日本橋浜町３,['東京メトロ日比谷線/人形町駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n都営新宿線/浜町駅 歩6分'],15.8万円,,
東京メトロ日比谷線 人形町駅 7階建 築21年,東京都中央区日本橋人形町１,['東京メトロ日比谷線/人形町駅 歩2分\n都営浅草線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩2分'],17.5万円,,
東京メトロ日比谷線 人形町駅 7階建 築21年,東京都中央区日本橋人形町１,['東京メトロ日比谷線/人形町駅 歩2分\n都営浅草線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩2分'],17.5万円,,
ローレルコート三番町,東京都千代田区三番町,['ＪＲ中央線/市ケ谷駅 歩9分\n都営新宿線/市ケ谷駅 歩6分\n東京メトロ半蔵門線/半蔵門駅 歩7分'],64万円,,
東京メトロ日比谷線 茅場町駅 11階建 築23年,東京都中央区日本橋茅場町２,['東京メトロ日比谷線/茅場町駅 歩2分\n東京メトロ日比谷線/八丁堀駅 歩8分\n東京メトロ銀座線/日本橋駅 歩10分'],14.9万円,,
