物件名,販売価格,所在地,専有面積,間取り
ファミール月島グランスイートタワー,2億4980万円,東京都中央区佃２,107.64m2（壁芯）,3LDK
ファミール月島グランスイートタワー,2億4980万円,東京都中央区佃２-19-1,107.64m2（32.56坪）（壁芯）,3LDK
THE TOKYO TOWERS SEA TOWER,2億5000万円,東京都中央区勝どき６-3-1,91.27m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズディアロレジデンス,2億5000万円,東京都中央区晴海２,101.8m2（壁芯）,3LDK+S（納戸）
センチュリーパークタワー,2億5800万円,東京都中央区佃２-1-1,109.63m2（33.16坪）（壁芯）,4LDK
パークタワー勝どきサウス,2億5800万円,東京都中央区勝どき４,74.45m2（壁芯）,3LDK
パークタワー晴海,2億5800万円,東京都中央区晴海２,88.49m2（壁芯）,3LDK
パークタワー勝どき　ミッド,2億6800万円,東京都中央区勝どき４-6,76.88m2（23.25坪）,2LDK
勝どきザ・タワー,2億7800万円,東京都中央区勝どき５,80.24m2（24.27坪）（壁芯）,3LDK
センチュリーパークタワー,2億7980万円,東京都中央区佃２,96.71m2（壁芯）,2LDK
CAPITAL GATE PLACE THE TOW…,2億7980万円,東京都中央区月島１,81.13m2（壁芯）,3LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,2億8800万円,東京都中央区勝どき６,120.17m2（36.35坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億9800万円,東京都中央区勝どき４,87.05m2（壁芯）,3LDK
パークタワー勝どきサウス,3億1800万円,東京都中央区勝どき４,90.6m2（壁芯）,2LDK+S（納戸）
パークタワー勝どきミッド,3億5000万円,東京都中央区勝どき４,102.53m2（壁芯）,3LDK
THE TOKYO TOWERS SEA TOWER,3億8800万円,東京都中央区勝どき６,113.73m2,3LDK
トダカ佃コーポ,2499万円,東京都中央区佃２-18-4,31.53m2（9.53坪）（壁芯）,ワンルーム
サンパーク東京銀座,4199万円,東京都中央区入船１-2-8,39.6m2（11.97坪）（壁芯）,1LDK
サンパーク東京銀座,4199万円,東京都中央区入船１-2-8,39.6m2（11.97坪）（壁芯）,1LDK
サンパーク東京銀座,4199万円,東京都中央区入船１,39.6m2（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（13.25坪）（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（壁芯）,1LDK
≪1月25日・26日内覧受付中≫リノベーション×新耐…,4580万円,東京都中央区日本橋中洲,43.2m2（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１,46.05m2（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１-24-7,46.05m2（壁芯）,1LDK
秀和築地レジデンス,4780万円,東京都中央区築地２-1-2,44.08m2（13.33坪）（壁芯）,1LDK
秀和新川レジデンス,5299万円,東京都中央区新川２,39.87m2（壁芯）,1LDK
ニックハイム日本橋,5690万円,東京都中央区日本橋中洲,61.56m2（18.62坪）（壁芯）,3DK
セザールベイサイド勝どき,6599万円,東京都中央区勝どき３-３－１２,43.64m2（13.20坪）（壁芯）,1LDK
勝どき黎明マンション,7080万円,東京都中央区勝どき４-1-12,69.43m2（21.00坪）（壁芯）,2LDK
オープンレジデンシア日本橋横山町,7080万円,東京都中央区日本橋横山町,40.41m2（壁芯）,1LDK
パレ・ソレイユ日本橋三越前,7200万円,東京都中央区日本橋本町１,43.34m2（13.11坪）（壁芯）,1LDK
勝どきザ・タワー,8380万円,東京都中央区勝どき５,42.04m2（壁芯）,1LDK
勝どきザ・タワー,8380万円,東京都中央区勝どき５-３－１,42.04m2（12.71坪）（壁芯）,1LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲,65.78m2（壁芯）,3LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲,65.78m2（壁芯）,3LDK
サンクタス築地,8680万円,東京都中央区築地７,44.24m2（壁芯）,1LDK
セザールリバーサイド中洲,8680万円,東京都中央区日本橋中洲,66.35m2（壁芯）,2LDK+S（納戸）
日本橋三越前アムフラット壱番館,8980万円,東京都中央区日本橋小舟町,51.3m2（壁芯）,1LDK
シティハウス月島駅前ベイブリーズコート,9500万円,東京都中央区佃３,56.41m2（17.06坪）（壁芯）,2LDK
晴海アイランドトリトンスクエアビュータワー,9780万円,東京都中央区晴海１-6‐1,69.86m2（21.13坪）（壁芯）,2LDK+S（納戸）
クレストシティジデンス勝どき,9800万円,東京都中央区勝どき５,60.38m2（壁芯）,2LDK
HARUMI　FLAG　SUN　VILLAGE　C棟,9980万円,東京都中央区晴海５,61.18m2（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６,66.5m2（壁芯）,2LDK
ライオンズマンション箱崎町,9999万円,東京都中央区日本橋箱崎町,75.22m2（壁芯）,3LDK
スカイライトタワー,1億280万円,東京都中央区佃１-11-7,61.56m2（18.62坪）（壁芯）,1LDK
晴海アイランドトリトンスクエアビュータワー,1億500万円,東京都中央区晴海１,69.86m2（21.13坪）（壁芯）,2LDK+S（納戸）
シティタワー銀座東,1億580万円,東京都中央区湊２,44.8m2（壁芯）,1LDK
スカイライトタワー,1億999万円,東京都中央区佃１,62.01m2（壁芯）,2LDK
パークシティ中央湊ザタワー,1億1499万円,東京都中央区湊２,40.19m2（壁芯）,1LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｆ棟,1億1600万円,東京都中央区晴海５,65.12m2（19.69坪）（壁芯）,2LDK
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５,79.2m2（23.95坪）（壁芯）,2LDK
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５,79.2m2（23.95坪）（壁芯）,2LDK
THE TOKYO TOWERS SEA TOWER,1億1980万円,東京都中央区勝どき６,70.16m2（21.22坪）（壁芯）,2LDK
ブランズ日本橋茅場町,1億1990万円,東京都中央区日本橋茅場町３,56.62m2（壁芯）,1LDK
晴海アイランドトリトンスクエアビュータワー,1億3680万円,東京都中央区晴海１-6‐1,94.12m2（28.47坪）（壁芯）,3LDK
パークタワー晴海,1億4280万円,東京都中央区晴海２,71.65m2（壁芯）,2LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,1億4290万円,東京都中央区勝どき６,73.26m2（22.16坪）（壁芯）,2LDK
ドゥ・トゥールEAST棟,1億4480万円,東京都中央区晴海３,70.7m2（壁芯）,2LDK
晴海アイランドトリトンスクエアビュータワー,1億4800万円,東京都中央区晴海１,94.12m2（28.47坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億4880万円,東京都中央区晴海２-3-2,63.7m2（壁芯）,1LDK
晴海フラッグHARUMI FLAG PARK VIL…,1億4980万円,東京都中央区晴海５,83.39m2,3LDK
DEUX TOURS（ドゥ・トゥール）,1億4980万円,東京都中央区晴海３-13-2,64.59m2（19.53坪）（壁芯）,2LDK
DEUX TOURS CANAL&SPA WEST,1億4980万円,東京都中央区晴海３,64.59m2（19.53坪）（壁芯）,2LDK
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６-3-2,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億5500万円,東京都中央区晴海２,85.1m2（25.74坪）（壁芯）,2LDK
THE TOKYO TOWERS MID TOWER,1億5600万円,東京都中央区勝どき６-3-2,65.14m2（壁芯）,1LDK+S（納戸）
HARUMI　FLAG SUN VILLAGE　C棟,1億5700万円,東京都中央区晴海５,80.15m2（24.24坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｃ棟,1億5700万円,東京都中央区晴海５,80.15m2（24.24坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（21.39坪）（壁芯）,3LDK
勝どきザ・タワー,1億6400万円,東京都中央区勝どき５-３－１,79.84m2（24.15坪）（壁芯）,3LDK
勝どきザ・タワー,1億6400万円,東京都中央区勝どき５,79.84m2（24.15坪）（壁芯）,3LDK
