物件名,販売価格,所在地,専有面積,間取り
パークタワー勝どきミッド,1億4500万円,東京都中央区勝どき４,50.01m2（15.12坪）（壁芯）,1LDK
藤和シティホームズ日本橋イースト,1億4500万円,東京都中央区東日本橋２,86.55m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億4580万円,東京都中央区晴海２,74.23m2（22.45坪）（壁芯）,3LDK
勝どきザ・タワー,1億4680万円,東京都中央区勝どき５,69.58m2（21.04坪）（壁芯）,2LDK
THE TOKYO TOWERS MIDTOWER,1億4800万円,東京都中央区勝どき６-3-2,73.94m2（22.36坪）（壁芯）,2LDK
シティタワー銀座東,1億4800万円,東京都中央区湊２,57.5m2（壁芯）,1LDK
THE TOKYO TOWERS SEA TOWER,1億4800万円,東京都中央区勝どき６,73.26m2（壁芯）,2LDK
パークタワー晴海,1億4800万円,東京都中央区晴海２-２－４２,69.25m2（20.94坪）,3LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億4880万円,東京都中央区晴海２-3-2,63.7m2（壁芯）,1LDK
パークタワー晴海,1億4880万円,東京都中央区晴海２,62.23m2（18.82坪）（壁芯）,2LDK+S（納戸）
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｂ棟,1億4900万円,東京都中央区晴海５,72.88m2（22.04坪）（壁芯）,3LDK
パークタワー晴海,1億4980万円,東京都中央区晴海２,63.1m2（19.08坪）（壁芯）,2LDK
勝どきビュータワー,1億4980万円,東京都中央区勝どき１-8-1,65.74m2（19.88坪）（壁芯）,1LDK
ドゥトゥールイースト,1億4980万円,東京都中央区晴海３,70.98m2（壁芯）,2LDK
パークタワー勝どきサウス,1億4980万円,東京都中央区勝どき４,57.12m2（壁芯）,1LDK+S（納戸）
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｅ…,1億4980万円,東京都中央区晴海５,83.39m2（25.22坪）（壁芯）,3LDK
パークタワー勝どきサウス,1億4980万円,東京都中央区勝どき４,57.12m2（17.27坪）（壁芯）,1LDK+S（納戸）
HARUMI FLAG PARK　VILLAGE,1億4980万円,東京都中央区晴海５,88.68m2（壁芯）,3LDK
Ｄｅｕｘ　Ｔｏｕｒｓ　Ｃａｎａｌ　＆　Ｓｐａ　ＥＡＳ…,1億4980万円,東京都中央区晴海３,64.59m2（19.53坪）（壁芯）,2LDK
Deux Tours Canal & Spa EAS…,1億4980万円,東京都中央区晴海３,64.59m2（壁芯）,2LDK
ブリリアウェリス月島,1億4990万円,東京都中央区月島１,74.8m2（壁芯）,2LDK
パークタワー勝どきサウス,1億5000万円,東京都中央区勝どき４,57.12m2（壁芯）,1LDK+S（納戸）
ＣＡＰＩＴＡＬ　ＧＡＴＥ　ＰＬＡＣＥ　ＴＨＥ　ＲＥＳ…,1億5000万円,東京都中央区月島１,65.51m2（19.81坪）（壁芯）,2LDK
シティタワー銀座東,1億5000万円,東京都中央区湊２,55.9m2（壁芯）,2LDK
パークタワー勝どきサウス,1億5000万円,東京都中央区勝どき４,57.12m2（17.27坪）（壁芯）,1LDK+S（納戸）
パークタワー勝どきサウス,1億5000万円,東京都中央区勝どき４,57.12m2（17.27坪）（壁芯）,1LDK+S（納戸）
勝どきビュータワー,1億5100万円,東京都中央区勝どき１,54.68m2（壁芯）,2LDK
パークタワー勝どきサウス,1億5200万円,東京都中央区勝どき４,57.13m2（壁芯）,2LDK
ドゥ・トゥール,1億5200万円,東京都中央区晴海３,72.95m2（22.06坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｂ…,1億5280万円,東京都中央区晴海５,86.53m2（26.17坪）（壁芯）,3LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5300万円,東京都中央区勝どき６-3-2,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
THETOKYOTOWERS MIDTOWER,1億5300万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６-3-2,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5300万円,東京都中央区勝どき６-3-2,65.14m2,1LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5300万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
THE　TOKYO　TOWERS　MID　TOWER,1億5300万円,東京都中央区勝どき６,65.14m2,1LDK+S（納戸）
ライオンズタワー月島,1億5400万円,東京都中央区佃２,86.38m2（壁芯）,3LDK
ライオンズタワー月島,1億5400万円,東京都中央区佃２,86.38m2（壁芯）,3LDK+S（納戸）
THE TOKYO TOWERS MIDTOWER〔…,1億5450万円,東京都中央区勝どき６,70.78m2（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｅ…,1億5480万円,東京都中央区晴海５,86.85m2（26.27坪）（壁芯）,3LDK
勝どきザ・タワー,1億5480万円,東京都中央区勝どき５,76.14m2（壁芯）,3LDK
ドゥ・トゥール（ＤＥＵＸ　ＴＯＵＲＳ）,1億5500万円,東京都中央区晴海３,70.98m2（21.47坪）（壁芯）,2LDK
ドゥ・トゥール　ウエスト,1億5500万円,東京都中央区晴海３,70.7m2（21.38坪）（壁芯）,3LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5580万円,東京都中央区勝どき６,80.23m2（24.26坪）（壁芯）,2LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5600万円,東京都中央区勝どき６,65.14m2,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5600万円,東京都中央区勝どき６,65.14m2,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5600万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5600万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ミッドタワー,1億5600万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK
THE TOKYO TOWERSミッドタワー,1億5600万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5600万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
THE TOKYO TOWERS MID TOWER,1億5600万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5600万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
THE　TOKYO　TOWERS　MID　TOWER,1億5600万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
ザ・豊海タワー　マリン＆スカイ　ウエストウイング,1億5600万円,東京都中央区豊海町,80.4m2（壁芯）,3LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5600万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5600万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億5600万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
THETOKYOTOWERSMIDTOWERS,1億5600万円,東京都中央区勝どき６-3-2,65.14m2（壁芯）,1LDK+S（納戸）
ザ・パークハウス晴海タワーズ クロノレジデンス,1億5700万円,東京都中央区晴海２,74.23m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億5800万円,東京都中央区晴海２-3-30,70.72m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズ クロノレジデンス,1億5800万円,東京都中央区晴海２-3-30,70.72m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（21.39坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（21.39坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億5800万円,東京都中央区晴海２-3-30,70.72m2（21.39坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２-３－３０,70.72m2（21.39坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（壁芯）,3LDK
パークタワー勝どきサウス,1億5800万円,東京都中央区勝どき４,60.25m2（18.22坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（21.39坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（21.39坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（21.39坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｂ…,1億5800万円,東京都中央区晴海５,78.85m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（壁芯）,3LDK
ドゥ・トゥール　ＥＡＳＴ,1億5880万円,東京都中央区晴海３,70.98m2（21.47坪）（壁芯）,2LDK
パークタワー晴海,1億5980万円,東京都中央区晴海２-2-42,73.06m2（壁芯）,2LDK+S（納戸）
ザ・パークハウス晴海タワーズ　ティアロレジデンス,1億5980万円,東京都中央区晴海２,64.55m2（19.52坪）（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｅ…,1億5980万円,東京都中央区晴海５,84.21m2（25.47坪）（壁芯）,3LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ,1億5980万円,東京都中央区勝どき６,70.16m2（壁芯）,2LDK
センチュリーパークタワー,1億5990万円,東京都中央区佃２-１-１,73.03m2（22.09坪）（壁芯）,2LDK
センチュリーパークタワー,1億5990万円,東京都中央区佃２,73.03m2（壁芯）,2LDK
THE TOKYO TOWERS MID TOWER,1億6000万円,東京都中央区勝どき６-3-2,65.14m2（19.70坪）（壁芯）,2LDK
THE TOKYO TOWERS MID TOWER,1億6000万円,東京都中央区勝どき６,65.14m2（19.70坪）（壁芯）,1LDK+S（納戸）
HARUMI FLAG SUNVILLAGE T棟,1億6000万円,東京都中央区晴海５-5,74.12m2（壁芯）,3LDK
ザ・パークハウス築地入船,1億6000万円,東京都中央区入船２,73.56m2（壁芯）,3LDK
HARUMI FLAG SUN VILLAGE B棟,1億6200万円,東京都中央区晴海５-5-2,75.8m2（壁芯）,3LDK
HARUMI FLAG SUN VILLAGE B棟,1億6200万円,東京都中央区晴海５-5-2,75.8m2（22.92坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｂ棟,1億6200万円,東京都中央区晴海５,75.8m2（壁芯）,3LDK
ＳＵＮ　ＶＩＬＬＡＧＥ　Ｂ棟,1億6200万円,東京都中央区晴海５,75.8m2（22.92坪）（壁芯）,3LDK
HARUMI FLAG SUN VILLAGE　B棟,1億6200万円,東京都中央区晴海５,75.8m2（22.92坪）（壁芯）,3LDK
HARUMI FLAG SUN VILLAGE B棟,1億6200万円,東京都中央区晴海５,75.8m2（22.92坪）（壁芯）,3LDK
シティフロントタワー,1億6300万円,東京都中央区佃１,101.62m2（30.73坪）（壁芯）,2LDK
HARUMI FLAG SUNVILLAGE T棟,1億6300万円,東京都中央区晴海５-5,74.12m2（壁芯）,3LDK
HARUMIFLAG　SUN VILLAGE　T棟,1億6300万円,東京都中央区晴海５-5,71.51m2（壁芯）,3LDK
勝どき　ザ・タワー,1億6400万円,東京都中央区勝どき５,79.84m2（壁芯）,3LDK
勝どきザ・タワー,1億6400万円,東京都中央区勝どき５,79.84m2（24.15坪）（壁芯）,3LDK
勝どきザ・タワー,1億6400万円,東京都中央区勝どき５,79.84m2（壁芯）,3LDK
勝どきザ・タワー,1億6400万円,東京都中央区勝どき５,79.84m2（24.15坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＥＡ　ＶＩＬＬＡＧＥ　Ｅ棟,1億6400万円,東京都中央区晴海５,85.73m2（25.93坪）（壁芯）,3LDK
勝どきザ・タワー,1億6400万円,東京都中央区勝どき５-3-1,79.84m2（24.15坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億6480万円,東京都中央区晴海２,73.35m2（22.18坪）（壁芯）,2LDK+S（納戸）
パークタワー勝どきサウス,1億6480万円,東京都中央区勝どき４,56.71m2（17.15坪）（壁芯）,2LDK
ドゥ・トゥール,1億6480万円,東京都中央区晴海３,70.7m2（壁芯）,2LDK
プラウド銀座東レジデンス,1億6480万円,東京都中央区明石町,58.05m2（17.56坪）（壁芯）,2LDK
パークタワー勝どきサウス,1億6480万円,東京都中央区勝どき４,56.71m2（壁芯）,2LDK
センチュリーパークタワー,1億6490万円,東京都中央区佃２,73.03m2（壁芯）,2LDK
センチュリーパークタワー,1億6490万円,東京都中央区佃２,73.03m2,2LDK
DEUX TOURS CANAL&SPA EAST …,1億6500万円,東京都中央区晴海３,64.59m2（壁芯）,2LDK
DEUX TOURS（ドゥ・トゥール） CANAL&…,1億6500万円,東京都中央区晴海３-13-1,70.7m2（壁芯）,3LDK+S（納戸）
ドゥ・トゥール　ウエスト,1億6500万円,東京都中央区晴海３,70.7m2（21.38坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億6580万円,東京都中央区晴海２,84.33m2（25.50坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＥＡ　ＶＩＬＬＡＧＥ,1億6800万円,東京都中央区晴海５,85.37m2（25.82坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ａ…,1億6800万円,東京都中央区晴海５,86.55m2（26.18坪）,3LDK
HARUMIFLAG PARKVILLAGE　B棟,1億6800万円,東京都中央区晴海５,78.85m2（23.85坪）（壁芯）,3LDK
晴海フラッグPARK VILLAGE B棟,1億6800万円,東京都中央区晴海５,78.85m2（壁芯）,3LDK
KACHIDOKI THE TOWER 　勝どきザ・…,1億6800万円,東京都中央区勝どき５,78.02m2（壁芯）,3LDK+S（納戸）
ドゥ・トゥール,1億6800万円,東京都中央区晴海３,70.98m2（21.47坪）（壁芯）,2LDK
ドゥ・トゥール,1億6800万円,東京都中央区晴海３,70.98m2（21.47坪）（壁芯）,2LDK
晴海フラッグ PARK VILLAGE B棟,1億6800万円,東京都中央区晴海５,78.85m2（23.85坪）（壁芯）,3LDK
晴海フラッグPARKVILLAGE B棟,1億6800万円,東京都中央区晴海５,78.85m2（23.85坪）,3LDK
HARUMI FLAG PARK VILLAGE A…,1億6980万円,東京都中央区晴海５,86.55m2（壁芯）,3LDK
ブランズ明石町,1億6980万円,東京都中央区明石町,71.32m2（壁芯）,2LDK
HARUMI FLAG PARK VILLAGE S…,1億6980万円,東京都中央区晴海５,70.06m2（壁芯）,3LDK
パークタワー晴海,1億7000万円,東京都中央区晴海２,71.42m2（21.60坪）（壁芯）,3LDK
シティタワー銀座東,1億7000万円,東京都中央区湊２,72.63m2（21.97坪）（壁芯）,3LDK
THE　TOKYO　TOWERS　MID　TOWER,1億7280万円,東京都中央区勝どき６,88.14m2（26.66坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズ　ティアロレジデンス,1億7280万円,東京都中央区晴海２,73.48m2（22.22坪）（壁芯）,3LDK
ＭＩＤ　ＴＯＷＥＲ　ＧＲＡＮＤ,1億7280万円,東京都中央区月島１,66.83m2（壁芯）,2LDK
シティタワー銀座東,1億7480万円,東京都中央区湊２,72.63m2（21.97坪）（壁芯）,2LDK
シティタワー銀座東,1億7500万円,東京都中央区湊２,72.63m2（21.97坪）（壁芯）,2LDK
プラウド銀座東レジデンス,1億7500万円,東京都中央区明石町,73.22m2（22.14坪）,2LDK
ドゥ・トゥール　WEST,1億7500万円,東京都中央区晴海３-13-2,70.7m2（壁芯）,2LDK
プラウド銀座東レジデンス,1億7500万円,東京都中央区明石町,73.22m2,2LDK
HARUMI FLAG SUNVILLAGE T棟,1億7500万円,東京都中央区晴海５-5,74.12m2（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＥＡ　ＶＩＬＬＡＧＥ　Ｅ棟,1億7500万円,東京都中央区晴海５,85.73m2（壁芯）,2LDK+S（納戸）
シティタワー銀座東,1億7500万円,東京都中央区湊２,72.63m2（21.97坪）（壁芯）,2LDK
ドゥトゥール,1億7500万円,東京都中央区晴海３,70.98m2（21.47坪）（壁芯）,2LDK
ＭＩＤ　ＴＯＷＥＲ　ＧＲＡＮＤ,1億7700万円,東京都中央区月島１,65.02m2（壁芯）,2LDK
THE　TOKYO　TOWERS　MIDTOWER,1億7800万円,東京都中央区勝どき６,88.14m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億7800万円,東京都中央区晴海２,78.62m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億7900万円,東京都中央区晴海２,79.54m2（壁芯）,3LDK
ザ・バ－クハウス晴海タワ－ズクロノレジデンス,1億7900万円,東京都中央区晴海２,79.54m2（24.06坪）（壁芯）,3LDK
ドゥ・トゥール,1億7900万円,東京都中央区晴海３,70.98m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億7900万円,東京都中央区晴海２,79.54m2,3LDK
ドゥ・トゥール WEST棟,1億7950万円,東京都中央区晴海３-13-2,70.7m2（壁芯）,2LDK+S（納戸）
THE TOKYO TOWERS 東京タワーズSEA,1億7980万円,東京都中央区勝どき６-3-1,82.78m2（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＥＡ　ＶＩＬＬＡＧＥ　Ａ棟,1億7980万円,東京都中央区晴海５,90.67m2（壁芯）,3LDK
シティフロントタワー,1億8000万円,東京都中央区佃１,113.38m2（34.29坪）（壁芯）,1LDK
パークタワー晴海,1億8000万円,東京都中央区晴海２,72.86m2（壁芯）,3LDK
HARUMI FLAG SUNVILLAGE T棟,1億8000万円,東京都中央区晴海５-5,76.75m2（壁芯）,3LDK
ドゥ・トゥール　ＷＥＳＴ,1億8180万円,東京都中央区晴海３,70.7m2（21.38坪）（壁芯）,3LDK
パークタワー晴海,1億8500万円,東京都中央区晴海２,82.27m2（壁芯）,2LDK
パークタワー晴海　仲介手数料割引キャンペーン実施中♪,1億8500万円,東京都中央区晴海２,82.27m2（壁芯）,2LDK
パークタワー晴海,1億8500万円,東京都中央区晴海２,82.27m2,2LDK
パークタワー晴海,1億8500万円,東京都中央区晴海２,71.42m2（21.60坪）（壁芯）,3LDK
パークタワー晴海,1億8500万円,東京都中央区晴海２,82.27m2,2LDK
勝どきビュータワー,1億8500万円,東京都中央区勝どき１,67.04m2（20.27坪）（壁芯）,2LDK
パークタワー晴海,1億8500万円,東京都中央区晴海２,82.27m2（壁芯）,2LDK
ドゥ・トゥール　イースト,1億8500万円,東京都中央区晴海３,70.98m2（21.47坪）（壁芯）,2LDK
スカイライトタワー,1億8800万円,東京都中央区佃１,90m2（27.22坪）（壁芯）,2LDK
■パークタワー勝どきミッド～駅直結～■,1億8800万円,東京都中央区勝どき４,64m2（壁芯）,2LDK
パークタワー晴海,1億8800万円,東京都中央区晴海２-2-42,70.84m2（21.42坪）,3LDK
パークタワー勝どきミッド,1億8800万円,東京都中央区勝どき４,64m2（19.35坪）（壁芯）,2LDK
パークタワー晴海,1億8800万円,東京都中央区晴海２,70.84m2（21.42坪）（壁芯）,3LDK
プレミスト日本橋浜町公園,1億8800万円,東京都中央区日本橋浜町２,83.17m2（25.15坪）（壁芯）,3LDK
パークタワー晴海,1億8800万円,東京都中央区晴海２-2-42,70.84m2（21.42坪）（壁芯）,3LDK
HARUMI FLAG PARK VILLAGE T…,1億8800万円,東京都中央区晴海５-6,75.25m2（壁芯）,3LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,1億8800万円,東京都中央区勝どき６,84.06m2（25.42坪）（壁芯）,2LDK
晴海アイランドトリトンスクエアビュータワー,1億8898万円,東京都中央区晴海１,101.86m2（壁芯）,3LDK
HARUMI FLAG PARK VILLAGE A…,1億8980万円,東京都中央区晴海５,86.55m2（壁芯）,3LDK
勝どきザ・タワー,1億8980万円,東京都中央区勝どき５,81.2m2（壁芯）,3LDK
ＧＲＥＥＮ　ＰＡＲＫ　日本橋馬喰町,1億8980万円,東京都中央区日本橋馬喰町１,91.12m2（壁芯）,4LDK
勝どきザ・タワー,1億8980万円,東京都中央区勝どき５,81.2m2（24.56坪）（壁芯）,3LDK
スカイライトタワー,1億9400万円,東京都中央区佃１,92.82m2（28.07坪）（壁芯）,3LDK
Ｉ－ＭＡＲＫ　ＴＯＷＥＲ,1億9500万円,東京都中央区月島１,98.85m2（29.90坪）（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｆ…,1億9700万円,東京都中央区晴海５,86.72m2（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｆ…,1億9700万円,東京都中央区晴海５,86.72m2（26.23坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ クロノレジデンス260…,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズクロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,2LDK+S（納戸）
THE　TOKYO　TOWERS　MID TOWER,1億9800万円,東京都中央区勝どき６-3-2,90.38m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
THE TOKYO TOWERS SEA TOWER,1億9800万円,東京都中央区勝どき６-3-1,90.27m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億9800万円,東京都中央区晴海２-3-30,72.95m2（22.06坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２-3‐30,72.95m2（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（壁芯）,3LDK+S（納戸）
プラウド銀座一丁目,1億9800万円,東京都中央区銀座１-28-17,53.63m2（16.22坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億9800万円,東京都中央区晴海２-3-30,72.95m2（壁芯）,3LDK+S（納戸）
プラウド銀座一丁目,1億9800万円,東京都中央区銀座１-28-17,53.63m2（16.22坪）（壁芯）,2LDK
THE TOKYO TOWERS MID TOWER,1億9800万円,東京都中央区勝どき６-3-2,90.38m2（27.33坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザパークハウス晴海タワーズクロノレジデンス,1億9800万円,東京都中央区晴海２-3-30,72.95m2（22.06坪）（壁芯）,4LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2,3LDK+S（納戸）
KACHIDOKI THE TOWER 勝どきザ・タ…,1億9800万円,東京都中央区勝どき５-3-1,79.84m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
パークタワー晴海,1億9800万円,東京都中央区晴海２,82.05m2（壁芯）,3LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,1億9800万円,東京都中央区勝どき６,90.27m2（27.30坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２-３-３０,72.95m2（壁芯）,3LDK+S（納戸）
パークタワー勝どきサウス,1億9800万円,東京都中央区勝どき４,65.47m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズクロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK
勝どきザ・タワー,1億9900万円,東京都中央区勝どき５,70.01m2（壁芯）,2LDK
勝どきザ・タワー,1億9900万円,東京都中央区勝どき５,70.01m2（21.17坪）（壁芯）,2LDK
勝どきザ・タワー,1億9900万円,東京都中央区勝どき５,72.38m2（21.89坪）（壁芯）,3LDK
パークタワー晴海,1億9980万円,東京都中央区晴海２,78.67m2（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ａ棟,1億9980万円,東京都中央区晴海５,86.58m2（26.19坪）（壁芯）,3LDK
HARUMI FLAG SUNVILLAGE T棟,2億円,東京都中央区晴海５-5,79.53m2（壁芯）,3LDK
パークタワー勝どきミッド,2億800万円,東京都中央区勝どき４,64m2（19.35坪）（壁芯）,2LDK
